0	sprScanlines	0	0
3	sprPalmTree1	15	157
4	sprPalmTree2	12	141
5	sprPalmTree3	10	158
6	sprPalmTree4	8	143
8	sprHouses	24	18
9	sprPigWalkBat	13	16
10	sprPigWalkDoubleBarrel	13	16
11	sprPigWalkHammer	13	16
12	sprPigWalkUnarmed	13	16
13	sprPigAttackBat	16	16
14	sprPigAttackDoubleBarrel1	13	16
15	sprPigAttackDoubleBarrel2	13	16
16	sprPigAttackHammer	13	16
17	sprPigKillHeadbutt	13	16
18	sprPigDeadBlunt	24	12
19	sprPigKillBat	22	22
20	sprPigKillHammer	11	22
21	sprPigKillRape	24	16
22	sprPigKillStomp	12	19
23	sprPigKillWall1	22	27
24	sprPigKillWall2	22	27
25	sprPigKillWall3	22	27
26	sprPigKillWall4	22	27
27	sprVictim2AttackBat	18	24
28	sprVictim1GetUp	23	16
29	sprVictim1GetUpLean	30	16
30	sprVictim1Idle	16	16
31	sprVictim1Walk	16	16
32	sprVictim2Walk	16	16
33	sprVictim3Walk	16	16
34	sprVictim5Walk	16	16
35	sprVictim2GetUp	24	16
36	sprVictim3GetUp	22	16
37	sprVictim5Crawl	30	20
38	sprVictim3Idle	16	16
39	sprVictim5Idle	16	16
40	sprVictim2WalkBat	16	9
41	sprVictim1Idle2	12	10
42	sprVictim1DeadBlunt	26	14
43	sprVictim1DeadShot	29	11
44	sprVictim1DeadWall	13	15
45	sprVictim1KillBlunt	28	19
46	sprVictim1KillStomp	28	19
47	sprVictim2DeadBlunt	27	11
48	sprVictim2DeadShot	21	13
49	sprVictim2DeadWall	12	15
50	sprVictim2KillBlunt	27	26
51	sprVictim2KillStomp	27	26
52	sprVictim3DeadBlunt	32	16
53	sprVictim3DeadShot	24	14
54	sprVictim3KillBlunt	30	16
55	sprVictim3KillStomp	30	16
56	sprVictim3Hat	5	3
57	sprVictim4DeadBlunt	30	16
58	sprVictim4DeadShot	21	25
59	sprVictim4KillStomp	30	30
60	sprLabels	0	0
61	sprNoise	0	0
62	sprWallH	0	0
63	sprWallV	0	0
64	sprEditorMask	0	0
66	sprEMafiaWalkClub	11	11
67	sprEMafiaWalkBat	12	10
68	sprEMafiaWalkDoubleBarrel	13	12
69	sprEMafiaWalkShotgun	11	12
70	sprEMafiaWalkM16	9	12
71	sprCheckbox	0	0
72	sprCursor	6	6
73	sprEMafiaWalkKnife	16	16
74	sprEMafiaWalkPipe	11	10
75	sprEMafiaWalkSilencer	13	12
76	sprEMafiaLegs	16	16
77	sprEditorIcons	0	0
78	sprSkeleton1	0	0
79	sprSkeleton2	0	0
80	sprBird	6	6
81	sprCloud	110	64
82	sprTextBlood	8	8
83	sprTextBloodHighlight	8	8
84	sprPalmTrees	32	80
86	sprMoon	80	80
87	sprWindowLeft	2	0
88	sprWindowRight	4	0
89	sprWindowUp	0	2
90	sprWindowDown	0	22
91	sprDoorV	2	0
92	sprDoorH	0	2
93	sprSea	0	0
94	sprSeaGlimmer	6	1
